,Site,Habitat,Protection,Cluster,GPS file name,Month,Elevation,Lat,Long,Primary1000,Primary1000km,Secondary200,Secondary200km,House1000,House1000km,Non_Ground_Truthed_Habitat,Habitat_code,Dist_Corc,Dist_Corc_km,Dist_Corc_scaled,Secondary50,OldGrowth50,Secondary100,OldGrowth100,Secondary200,OldGrowth200,Secondary300,OldGrowth300,OldGrowth400,Secondary400,Secondary500,OldGrowth500,Secondary750,OldGrowth750,Secondary1000,OldGrowth1000,Secondary2000,OldGrowth2000,Secondary3000,OldGrowth3000,OldGrowth4000,Secondary4000,OldGrowth5000,Secondary5000,Mangrove50,Mangrove100,Mangrove200,Mangrove300,Mangrove400,Mangrove500,Mangrove750,Mangrove1000,Mangrove2000,Mangrove3000,Mangrove4000,Mangrove5000,ForestCover50,ForestCover100,ForestCover200,ForestCover300,ForestCover400,ForestCover500,ForestCover750,ForestCover1000,ForestCover2000,ForestCover3000,ForestCover4000,ForestCover5000,Diversity50,Diversity100,Diversity200,Diversity300,Diversity400,Diversity500,Diversity750,Diversity1000,Diversity2000,Diversity3000,Diversity4000,Diversity5000
11,Bonito_Site_3,Secondary,Piedras Blancas NP,Bonito,PB10SE,March,149.739105,8.673794,-83.232835,0,0,0,0,0,0,Secondary,SEC,47358.02533,47.35802533,0.927659586,1,0,1,0,0.968637526,0.031362473,0.833592345,0.166407655,0.232535111,0.767464889,0.777591926,0.22002059,0.783019344,0.203367088,0.84436527,0.147609637,0.759273903,0.227380947,0.743070861,0.248506555,0.275698621,0.679124581,0.283672547,0.606644916,0,0,0,0,0,0.002387484,0.004346852,0.002800186,0,0,0,0,1,1,0.999999999,1,1,0.997612516,0.986386432,0.991974907,0.98665485,0.991577416,0.954823202,0.890317463,0,0,0.134069658,0.31159629,0.433953614,0.389746928,0.592810628,0.618539481,0.711886906,0.781434066,0.72080143,0.74494712
12,Bonito_Site_4,Secondary,Piedras Blancas NP,Bonito,PB11 SW,March,149.315323,8.665902,-83.231791,0,0,0,0,0,0,Secondary,SEC,47778.26571,47.77826571,0.935891349,1,0,1,0,1,0,1,0,0.011547977,0.988452023,0.948237235,0.051762765,0.813249209,0.186750791,0.784098231,0.213475162,0.709119922,0.287619063,0.690729215,0.281328722,0.268762262,0.618227041,0.252925966,0.563762608,0,0,0,0,0,0,0,0.002426607,0,0,0,0,1,1,1,1,1,1,1,0.997573393,0.996738985,0.972057937,0.886989303,0.816688574,0,0,0.139446822,0.450144104,0.542321446,0.543139057,0.582456323,0.469158771,0.539827254,0.591106659,0.698449314,0.766665188
13,Bonito_Site_5,Secondary,Piedras Blancas NP,Bonito,PB12 W,March,130.608109,8.685772,-83.231637,0,0,0,0,787.3704496,0.78737045,Secondary,SEC,47400.54367,47.40054367,0.928492445,1,0,1,0,1,0,1,0,0,0.992688448,0.95333081,0.00949063,0.924470034,0.026049759,0.925178338,0.041233635,0.865376047,0.116034752,0.777534307,0.21160374,0.25272642,0.735432078,0.293338849,0.669029763,0,0,0,0,0,0,0,0.002003876,0,0.002274457,0,0,1,1,1,1,0.992688448,0.96282144,0.950519793,0.966411973,0.981410799,0.989138047,0.988158498,0.962368612,0,0,0,0,0.062999396,0.203673246,0.481477128,0.534976141,0.614635816,0.698360617,0.745382665,0.774397199
14,Buho_Site_1,Secondary,Unprotected,Buho,BUHO 1,June,-8.843966,8.539777,-83.309991,11841.76868,7.84,0,0,402414.1167,185.125423,Grassland,GRA,15432.44073,15.43244073,0.302294099,0.940026662,0,0.610764691,0,0.37903671,0,0.413208505,0,0,0.415873108,0.383871054,0,0.299058954,0,0.277395435,0,0.329284231,0,0.331113154,0.006440114,0.007216163,0.330863008,0.015798506,0.310334024,0,0,0,0.050409187,0.084515549,0.097336681,0.106972816,0.077139298,0.038738718,0.044391244,0.03011524,0.020234866,0.940026662,0.610764691,0.37903671,0.413208505,0.415873108,0.383871054,0.299058954,0.277395435,0.329284231,0.337553268,0.338079171,0.32613253,0.226894157,0.982183765,1.277965962,1.415508767,1.461172426,1.554179238,1.683687791,1.684857913,1.532932123,1.565457973,1.451984936,1.356075888
15,Buho_Site_2,Secondary,Unprotected,Buho,BUHO 2,June,14.47736,8.553455,-83.325792,0,0,0,0,1957.675335,1.957675335,Old Growth,OG,11887.20274,11.88720274,0.232849184,1,0,1,0,1,0,1,0,0,0.993871498,0.91935744,0,0.769723276,0,0.622390079,0,0.369012608,0.000377099,0.331030554,0.000755708,0.011944092,0.300335775,0.020164365,0.284240438,0,0,0,0,0,0,0.023490814,0.061784748,0.058113495,0.030176639,0.017299193,0.019572949,1,1,1,1,0.993871498,0.91935744,0.769723276,0.622390079,0.369389707,0.331786262,0.312279867,0.304404803,0,0,0,0,0.041292275,0.332501811,0.7836998,1.21704486,1.596980383,1.415041437,1.398583745,1.380956772
16,Buho_Site_3,Secondary,Unprotected,Buho,BUHO 3NW,June,13.684324,8.55782,-83.325446,0,0,0,0,1852.815168,1.852815168,Secondary,SEC,10873.03958,10.87303958,0.21298353,1,0,1,0,1,0,1,0,0,0.991758165,0.904478253,0,0.668455959,0,0.536272612,0.001507604,0.33772005,0,0.27445506,0.000647915,0.003842165,0.262443694,0.015714693,0.252429067,0,0,0,0,0,0.027096383,0.088327167,0.100424583,0.053163894,0.028758441,0.017094903,0.016816302,1,1,1,1,0.991758165,0.904478253,0.668455959,0.537780216,0.33772005,0.275102975,0.266285859,0.26814376,0,0,0,0,0.047932173,0.410769773,1.064405858,1.247381215,1.503520672,1.450805463,1.396651672,1.400256433
17,Buho_Site_4,Secondary,Unprotected,Buho,BUHO 4 W,June,10.560823,8.549027,-83.323512,0,0,417.7556091,0.417755609,178.7528568,0.178752857,Exposed_Urban,GRA,11142.62545,11.14262545,0.218264238,1,0,0.967212525,0,0.897593797,0,0.831642952,0,0,0.766246952,0.761082098,0,0.691325194,0,0.589053939,0,0.371073647,0,0.367271066,0.001783874,0.015271057,0.321868119,0.022662989,0.31585864,0,0,0,0,0,0,0.028420719,0.073503624,0.053140865,0,0.021041856,0,1,0.967212525,0.897593797,0.831642952,0.766246952,0.761082098,0.691325194,0.589053939,0.371073647,0.36905494,0.337139176,0.338521629,0,0.144302031,0.330338001,0.540024725,0.695900619,0.686957519,0.90578233,1.22284258,1.582379886,1.278236921,1.393787694,1.257103409
18,Buho_Site_5,Secondary,Unprotected,Buho,BUHO5E,June,20.19381,8.546734,-83.326672,1707.35428,1.70735428,659.7110712,0.659711071,8468.925379,8.468925379,Old Growth,OG,10876.32245,10.87632245,0.213047835,0.994785457,0,0.714515493,0,0.594083528,0,0.508673695,0,0,0.507320298,0.556408588,0,0.570627301,0,0.533973187,0,0.435231538,0,0.417006863,0.007441577,0.02076895,0.354196315,0.028381999,0.350781746,0,0,0,0,0,0,0,0,0.045507107,0,0.017891882,0,0.994785457,0.714515493,0.594083528,0.508673695,0.507320298,0.556408588,0.570627301,0.533973187,0.435231538,0.42444844,0.374965265,0.379163745,0.032610146,0.598058915,0.675337781,0.72844058,0.799728191,0.889707377,1.09237908,1.265342863,1.540619007,1.269839779,1.366211605,1.303679296
19,Buho_Site_6,Secondary,Unprotected,Buho,BUHO 6N,June,24.327972,8.542617,-83.323435,2337.650124,2.337650124,581.6140053,0.581614005,105323.1605,105.3231605,Secondary,SEC,10453.49575,10.45349575,0.204765411,0.651472108,0,0.576994292,0,0.48094467,0,0.422634168,0,0,0.350674957,0.351294736,0,0.440870787,0,0.450891087,0,0.476784042,0,0.420175627,0.009875602,0.022791353,0.38069746,0.029256239,0.372344799,0,0,0,0,0,0,0,0,0.038892381,0.028955056,0.024542894,0.01984442,0.651472108,0.576994292,0.48094467,0.422634168,0.350674957,0.351294736,0.440870787,0.450891087,0.476784042,0.430051229,0.403488813,0.401601038,0.646530581,0.681243632,0.692420793,0.681128005,0.673472426,0.721152422,1.050569641,1.281809685,1.46537874,1.480092761,1.374476738,1.323852573
20,Catappa_Site_1,Old Growth,Wildlife Refuge,Carate,CatappaOrig,May,17,8.439791,-83.443372,0,0,492.8189759,0.492818976,7775.437574,7.775437574,Secondary,SEC,3990.605414,3.990605414,0.078168871,1,0,1,0,0.910097809,0,0.845720797,0,0,0.799677492,0.744125512,0,0.62433268,0,0.575040993,0.000384089,0.461786129,0.06792346,0.408684519,0.09864931,0.1190728,0.382069854,0.136584353,0.359134513,0,0,0,0,0,0,0,0,0,0,0.000383355,0.002735925,1,1,0.910097809,0.845720797,0.799677492,0.744125512,0.62433268,0.575425082,0.529709589,0.507333829,0.501142654,0.495718866,0,0,0.315754416,0.476257024,0.475031549,0.534886175,0.637409294,0.64234983,0.874940937,0.946536702,0.970262007,1.016121216
21,Catappa_Site_2,Old Growth,Wildlife Refuge,Carate,Catappa2May2018,May,182,8.44701,-83.436105,0,0,0,0,3513.859227,3.513859227,Mangrove,MAN,3833.423237,3.833423237,0.075089951,1,0,1,0,0.833568289,0.16643171,0.736567462,0.263432538,0.196588071,0.803411929,0.86599836,0.129239459,0.867934443,0.113251454,0.826710087,0.128513563,0.629346237,0.167212389,0.511084423,0.166372678,0.153979089,0.485613361,0.160280327,0.442097814,0,0,0,0,0,0,0,0,0,0.000241412,0.00333218,0.005138548,1,1,0.999999999,1,1,0.995237819,0.981185897,0.95522365,0.796558626,0.677457101,0.63959245,0.602378141,0,0,0.450182862,0.576616711,0.49563595,0.414492111,0.454047132,0.581472109,0.912893227,1.008994629,0.974866812,1.019981992
22,Cira_Site_1,Grassland,Unprotected,Cira,CIRA1S,July,-13.439125,8.428836,-83.376019,0,0,356.9704252,0.356970425,7400.447385,7.400447385,Mangrove,MAN,16044.58131,16.04458131,0.314284845,0,0,0,0,0.001770097,0,0.058657365,0,0,0.108316845,0.17157472,0,0.263666067,0.004020288,0.330304711,0.007744298,0.417251909,0.099510677,0.443168578,0.141444231,0.132216961,0.461778625,0.149845646,0.440481966,0,0,0,0,0,0,0,0,0,0,0,0.000659395,0,0,0.001770097,0.058657365,0.108316845,0.17157472,0.267686355,0.338049009,0.516762586,0.584612809,0.593995586,0.590327612,0,0,0.012985141,0.261778942,0.380386532,0.459463633,0.61435063,0.684161616,1.125137292,1.27499232,1.194724028,1.159049623
23,Cira_Site_2,Grassland,Unprotected,Cira,CIRA2NE,July,15.566483,8.424675,-83.37766,0,0,773.1339997,0.773134,6748.384551,6.748384551,Grassland,GRA,8489.108439,8.489108439,0.166286554,0,0,0.17809197,0,0.353841356,0,0.278447762,0,0,0.197723629,0.183004836,0,0.225872857,0.006662324,0.280313368,0.023499167,0.358522686,0.065901924,0.381661211,0.111762604,0.114056686,0.409671148,0.129391192,0.403195725,0,0,0,0,0,0,0,0,0,0,0.000470339,0.000451786,0,0.17809197,0.353841356,0.278447762,0.197723629,0.183004836,0.232535181,0.303812535,0.42442461,0.493423815,0.523727834,0.532586917,0,0.468487884,0.649792213,0.591481306,0.497230464,0.475919408,0.572555882,0.715278212,1.236574018,1.309138763,1.229560445,1.176789532
24,Cira_Site_3,Grassland,Unprotected,Cira,CIRA3NE,July,10.391952,8.419461,-83.381847,0,0,0,0,0,0,Secondary,SEC,8758.700388,8.758700388,0.171567381,0.342454384,0,0.461176779,0,0.549089975,0,0.653570523,0,0,0.571734713,0.450075025,0.013099686,0.287998469,0.05730017,0.308876835,0.053076434,0.238156184,0.040922673,0.289531684,0.061680714,0.088539983,0.331576026,0.094666944,0.350563678,0,0,0,0,0,0,0,0,0,0,0.0000377,0.000426822,0.342454384,0.461176779,0.549089975,0.653570523,0.571734713,0.463174711,0.345298639,0.361953269,0.279078857,0.351212398,0.420116009,0.445230622,0.64265005,0.717138618,0.837122163,0.732862497,0.889768077,1.102855247,1.305194876,1.414234633,1.288580456,1.338209935,1.270540238,1.195563186
25,Cira_Site_4,Grassland,Unprotected,Cira,CIRA4SE,July,14.98797,8.424956,-83.380572,0,0,755.5081111,0.755508111,6748.384551,6.748384551,Secondary,SEC,9004.671834,9.004671834,0.176385525,0,0,0,0,0.033781564,0,0.193418596,0,0,0.230708583,0.203329276,0,0.226893349,0,0.268522192,0.012230484,0.32524165,0.06262046,0.371705303,0.094230022,0.105962326,0.401037062,0.123124209,0.398099865,0,0,0,0,0,0,0,0,0,0,0.000366203,0.000470344,0,0,0.033781564,0.193418596,0.230708583,0.203329276,0.226893349,0.280752676,0.38786211,0.465935325,0.506999388,0.521224074,0,0,0.147650967,0.491142167,0.540131114,0.504983285,0.556669823,0.710167226,1.22497703,1.27744764,1.202536627,1.154259157
26,Corcovado_Site_1,Secondary,Corcovado NP,Corcovado,CORCOVADO1N,August,26.24538,8.483427,-83.586522,0,0,0,0,4419.930158,4.419930158,Mangrove,MAN,0,0,0,0.763301916,0.236698084,0.619051567,0.380948433,0.631892757,0.368107242,0.651411776,0.348588224,0.391510557,0.608489443,0.640108054,0.357128923,0.602920786,0.394934508,0.60510085,0.393692806,0.58734993,0.293918047,0.469795475,0.313665383,0.316599455,0.399385834,0.289716719,0.385921385,0,0,0,0,0,0,0,0,0,0.000451837,0,0.000740003,1,1,0.999999999,1,1,0.997236977,0.997855294,0.998793656,0.881267977,0.783460858,0.715985289,0.675638104,0.547243896,0.664526522,0.657940633,0.646568311,0.669418984,0.669562869,0.671264875,0.670576152,0.87161212,0.871489733,0.847632233,0.825935973
27,Corcovado_Site_10,Secondary,Corcovado NP,Corcovado 1,CORCOVADO10N,August,31.412027,8.51007,-83.596414,0,0,0,0,0,0,Water,MAN,0,0,0,1,0,0.994959347,0.005040653,0.869993788,0.130006212,0.815410924,0.184589075,0.198078782,0.801921218,0.823376272,0.176623728,0.850159747,0.149840253,0.859917434,0.140082566,0.878227636,0.121735644,0.799876375,0.143824952,0.154554255,0.681982939,0.174930952,0.590044313,0,0,0,0,0,0,0,0,0,0,0,0.00027305,1,1,1,0.999999999,1,1,1,1,0.99996328,0.943701327,0.836537194,0.764975265,0,0.031694089,0.386398515,0.478281246,0.497727487,0.46623508,0.42243189,0.405113338,0.370775895,0.595951408,0.764496058,0.86449648
28,Corcovado_Site_11,Secondary,Corcovado NP,Corcovado 1,CORCOVADO11SE,August,36.927177,8.513365,-83.593087,0,0,0,0,0,0,Grassland,GRA,0,0,0,1,0,0.90704812,0.09295188,0.698285431,0.30171457,0.660376448,0.339623553,0.243111407,0.756888593,0.769818758,0.230181242,0.818426983,0.181573017,0.861329647,0.138670352,0.857472017,0.138874232,0.828277032,0.157319775,0.172438458,0.711045972,0.189498399,0.621272741,0,0,0,0,0,0,0,0,0,0,0.000364476,0.000233249,1,1,1,1.000000001,1,1,1,0.999999999,0.996346249,0.985596807,0.88348443,0.81077114,0,0.309314715,0.612310061,0.640785467,0.554639924,0.539495246,0.473770364,0.402542427,0.428627299,0.517556309,0.778975515,0.861424503
29,Corcovado_Site_12,Secondary,Corcovado NP,Corcovado 1,CORCOVADO12NE,August,33.989643,8.515771,-83.589139,0,0,0,0,0,0,Secondary,SEC,0,0,0,1,0,0.94341338,0.05658662,0.885697491,0.114302509,0.896036278,0.103963722,0.12951779,0.87048221,0.838693927,0.161306073,0.839992195,0.160007805,0.847043083,0.152760018,0.829080631,0.163236306,0.822796725,0.170639364,0.200135062,0.724670319,0.209037876,0.64242785,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.999803101,0.992316937,0.993436089,0.924805381,0.851465726,0,0.217470309,0.355417286,0.333705882,0.385469016,0.441829314,0.439682822,0.429311234,0.491727476,0.496870462,0.768857912,0.863682649
30,Corcovado_Site_13,Secondary,Corcovado NP,Corcovado 1,CORCOVADO13NW,August,42.015602,8.518947,-83.585724,0,0,0,0,0,0,Secondary,SEC,0,0,0,0.855748715,0.144251285,0.618449493,0.381550507,0.713490386,0.286509614,0.803646704,0.196353296,0.193309178,0.806690822,0.843881929,0.156118071,0.862234811,0.132036948,0.8790387,0.11710815,0.822698301,0.168206615,0.806109678,0.187344597,0.212181535,0.738332196,0.219768365,0.668763827,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.994271759,0.99614685,0.990904916,0.993454275,0.950513731,0.888532192,0.412606371,0.664818075,0.598996791,0.495305269,0.490985886,0.433176322,0.424709908,0.38590725,0.49872105,0.518329622,0.720512813,0.854074493
31,Corcovado_Site_14,Secondary,Corcovado NP,Corcovado 1,CORCOVADO14NW,August,45.536888,8.52183,-83.582154,0,0,0,0,0,0,Old Growth,OG,0,0,0,1,0,1,0,0.996052051,0.00394795,0.910216763,0.078042082,0.13160331,0.844428627,0.834968377,0.149616917,0.875278667,0.117870948,0.887452224,0.108091504,0.845897229,0.145844282,0.784912858,0.208584594,0.220054761,0.738556407,0.223418724,0.693080865,0,0,0,0,0,0,0,0,0,0.000111719,0.0000628,0.000438331,1,1,1,0.988258845,0.976031937,0.984585294,0.993149615,0.995543728,0.991741511,0.993497452,0.958611168,0.916499589,0,0,0.025790305,0.336858644,0.499101003,0.499136757,0.402764547,0.371668833,0.457383731,0.548241546,0.692495389,0.834473226
32,Corcovado_Site_15,Old Growth,Corcovado NP,Corcovado,CORCOVADA15W,August,52.997173,8.476084,-83.587849,0,0,0,0,2419.930158,2.419930158,Secondary,SEC,0,0,0,0.012377774,0.987622226,0.216826708,0.783173292,0.39170479,0.60829521,0.476087079,0.523912921,0.477153242,0.522846758,0.593582304,0.401595859,0.713721917,0.267359483,0.65864239,0.263372172,0.517291846,0.234732586,0.399009971,0.26224765,0.280418541,0.332535934,0.269744089,0.321971143,0,0,0,0,0,0,0,0,0,0.000681591,0.001093496,0,1,1,1,1,1,0.995178163,0.9810814,0.922014562,0.752024432,0.661257621,0.612954475,0.591715232,0.066662213,0.522862189,0.669504555,0.692003089,0.692102868,0.701702395,0.671971937,0.836292114,0.882173646,0.887093363,0.870185099,0.836420253
33,Corcovado_Site_16,Secondary,Corcovado NP,Corcovado,CORCOVADO16N,August,38.242012,8.471643,-83.588051,0,0,0,0,4419.930158,4.419930158,Secondary,SEC,0,0,0,1,0,0.952407422,0.047592578,0.842966927,0.157033073,0.835089136,0.164910864,0.186892182,0.813107818,0.773500037,0.22144706,0.654827895,0.245530414,0.625643281,0.201650635,0.463079567,0.206105057,0.356773881,0.233775571,0.257712379,0.302887656,0.255770497,0.2873534,0,0,0,0,0,0,0.003932064,0.002211688,0,0,0,0,1,1,1,1,1,0.994947097,0.900358309,0.827293916,0.669184624,0.590549452,0.560600035,0.543123897,0,0.191364778,0.434717124,0.447724224,0.481685086,0.561383317,0.902549318,0.912190511,0.876477168,0.881279976,0.864774188,0.846120475
